,url,hospital,datetime,comment,sentiment_label,review_len,word_count
0,82500,Bunbury Hospital,2021-07-19 20:24:24+00:00,my husband i expect august babi busselton we pleasur luck abl particip 4 class hypnobirth australia posit birth program wach telehealth we cannot thank everyon made program possibl enough us firsttim parents knowledg experi prepar us birth littl baby thank busselton bunburi hospit special thank tiffani kasey,1,309,47
1,82501,Bunbury Hospital,2021-07-19 23:28:26+00:00,after traumat emerg caesarean mani year ago first child i lot anxieti throughout second pregnancy due covid regular antenat class available luckili us abl take part geraldton region hospital first posit birth hypnobirthing program the class great keep posit mindset toward end pregnanc lead schedul caesarean they also help develop birth plan advoc thing want deliveri son after we music play throughout delay cord clamp  dad got cut cord surgeon made initi cord cut left long dad could still cut near clamp i abl uninterrupt skin skin immedi delivery recoveri back room the skill partner i learn hypnobirth class allow us remain calm relaxed we even laugh joke surgeon make first incision,1,689,112
2,82502,Prince of Wales Hospital,2021-07-07 20:58:19+00:00,to may concern i write pass utmost gratitud appreci outstand staff made mother feel comfort eas visit emerg department dr michael dr david made prioriti ensur frail apprehensive vulner anxiou 80yearold woman present emerg depart breath difficulties felt comfortable ease heard care predicament both dr michael dr david care mother compass human second none and i feel must applauded i would appreci could pleas pass inform onto well superiors i would also like mention wonder nurseskatherin alex care mother both took great deal time energi clearli explain mother situat her allow time need comprehend situation again i ask pleas pass gratitud katherin alex well superiors sincerely,1,682,106
3,82504,St George Hospital COVID Vaccine Hub,2021-07-20 09:10:07+00:00,i got second dose today st georg everyth went well all staff i interact help nice the whole process orderli and opinion everyon know doing,1,138,25
4,82505,Prince of Wales Hospital,2021-07-07 20:58:19+00:00,to may concern i write pass utmost gratitud appreci outstand staff made mother feel comfort eas visit emerg department dr michael dr david made prioriti ensur frail apprehensive vulner anxiou 80yearold woman present emerg depart breath difficulties felt comfortable ease heard care predicament both dr michael dr david care mother compass human second none and i feel must applauded i would appreci could pleas pass inform onto well superiors i would also like mention wonder nurseskatherin alex care mother both took great deal time energi clearli explain mother situat her allow time need comprehend situation again i ask pleas pass gratitud katherin alex well superiors sincerely,1,682,106
5,82506,Kalgoorlie Health Campus,2021-07-06 23:30:23+00:00,i admit wait ambul extend time i immens pain left lower abdomen i given pain relief inject i given ultrasound consid i might kidney stones the test taken later decid i ct scan and quit late staff come in i taken report go perth read i given medic pain advis tri get sleep the nurs attend kindli turn light gave rug i request them i exhaust realli cold go sleep i woken told result quickli dr attend told i could go home i call partner asleep i couldnt get touch them it earli hour morningth nurs remov cannula spurt blood the nurs climb bed held arm firmli stop appli plaster told get readi goi tri dress i actual felt faint lighthead i hadnt eaten shock bit much i think i tri say id get taxi i couldnt get partner phone i get direct get area i ini ask help ring taxi usher wait outsid a e area outsid cold then i got home i get home earli hour morningi didnt purs keys i wake partner mortifi id let go theyd told id stay overnight and quit honest im shockedi didnt money thank i shoe drop partner hospital i someth eat went bed hindsight i feel bit neglect dont understand couldnt left sleep morn partner would got collect me i feel bad end alreadi traumat night there wasnt anyon around so opinion wasnt like need bed i never offer food drink i feel leav alon middl night good,1,1279,247
6,82507,Prince of Wales Hospital,2021-07-20 10:48:23+00:00,my husband present powh late one night sever lower abdomin pain he taken immediately given pain relief ct scan show larg kidney stone the care receiv absolut fantast i want thank ward clerk nurs doctor profession kindness thank much,1,232,39
7,82508,St George Hospital COVID Vaccine Hub,2021-07-20 11:01:43+00:00,hijust want let know impress i effici organis covid vaccination it quick i enter hospit midmorn inject done 8 minut later onc wait time over whole process would 23mincongratul whole team that awesom ,1,199,33
8,82509,Osborne Park Hospital,2021-07-05 13:02:52+00:00,a littl eight year ago i diagnos parkinson diseas i was honest happi all i felt i dealt bad hand pretti much decid i would hide basic avoid accept deal itclass denial behaviouri avoid group activ would remind diagnosi i want remind lay ahead i would attend six monthli doctor appoint osborn park rehabilit unit schedul visit noth else gradual i interact parkinson nurs  particularli katrina  physiotherapi staff simone anita julie ralph other  occup therapist arrang adjust made home assist recent speech pathologist tayla rachelgradu i come realis even though i may drawn one hundr short straw affect parkinsons i bless access absolut priceless resourc  the parkinson clinic wonder staff work theretheir patience skill kind care attitud made journey much easier i even start particip group exercis physiotherapi speech patholog depart  thing i never thought i would dothank staff parkinson clinic alway dapper dr andrew smile ladi front recept desk parkinson much easier bear efforts,1,984,155
9,82510,Bunbury Hospital,2021-07-20 11:30:39+00:00,i due 3rd bub second pregnanc twins my first birth traumat i lot anxieti birth got closer i found classesrun kasey bunburi region hospit want give go hope i could reduc anxietyi complet class cannot believ differ mental state i learnt relax mind send posit messag i this i learnt much i thought i would partner prefer class birth class last timethank tiff kasey amaz cours give tool i need know matter i give birth posit experi i much knowledg i before,1,452,82
